filename,x1,y1,x2,y2
14623.png,293,139,643,489
13161.png,200,168,550,518
13344.png,472,371,822,721
11720.png,409,308,759,658
13199.png,411,335,761,685
11902.png,388,373,738,723
12987.png,467,320,817,670
13189.png,445,252,795,602
11991.png,371,372,721,722
13009.png,478,177,828,527
14075.png,618,225,968,575
14631.png,329,353,679,703
13110.png,534,78,884,428
13309.png,535,322,885,672
13132.png,188,210,538,560
13369.png,677,308,1027,658
11893.png,394,369,744,719
13643.png,365,292,715,642
13008.png,479,178,829,528
14079.png,495,212,845,562
11909.png,386,375,736,725
13378.png,658,245,1008,595
11904.png,391,375,741,725
13314.png,631,179,981,529
13859.png,305,70,655,420
14412.png,389,214,739,564
14779.png,578,359,928,709
13210.png,546,399,896,749
13792.png,289,122,639,472
14350.png,142,237,492,587
11557.png,495,271,845,621
13060.png,630,241,980,591
14495.png,478,57,828,407
11767.png,698,387,1048,737
14530.png,448,20,798,370
14381.png,206,185,556,535
11970.png,371,367,721,717
13970.png,560,236,910,586
14101.png,505,323,855,673
14209.png,464,264,814,614
13130.png,194,214,544,564
13061.png,628,266,978,616
11799.png,676,342,1026,692
14555.png,526,71,876,421
11497.png,216,114,566,464
11444.png,203,310,553,660
11820.png,694,173,1044,523
11585.png,609,213,959,563
13365.png,647,203,997,553
13036.png,361,362,711,712
11877.png,419,361,769,711
13805.png,357,165,707,515
13002.png,503,258,853,608
13352.png,521,343,871,693
13215.png,574,390,924,740
13483.png,553,228,903,578
14527.png,424,20,774,370
13720.png,377,181,727,531
13475.png,535,174,885,524
13774.png,463,237,813,587
11549.png,449,320,799,670
12951.png,493,214,843,564
13760.png,531,208,881,558
11889.png,398,368,748,718
11843.png,571,258,921,608
13029.png,443,394,793,744
13865.png,220,131,570,481
11521.png,694,334,1044,684
11792.png,565,412,915,762
13356.png,569,229,919,579
14015.png,609,359,959,709
14324.png,560,228,910,578
11643.png,389,6,739,356
11665.png,346,332,696,682
13712.png,455,317,805,667
14292.png,709,287,1059,637
13438.png,545,278,895,628
14660.png,298,273,648,623
14510.png,482,101,832,451
14762.png,545,375,895,725
13353.png,534,299,884,649
13042.png,357,332,707,682
11766.png,715,403,1065,753
13325.png,522,394,872,744
11915.png,395,373,745,723
11564.png,480,172,830,522
11943.png,370,371,720,721
13599.png,271,330,621,680
11630.png,326,449,676,799
13735.png,384,274,734,624
14309.png,626,254,976,604
14711.png,410,349,760,699
11924.png,393,374,743,724
13575.png,300,297,650,647
14477.png,405,135,755,485
14507.png,494,74,844,424
14708.png,416,345,766,695
14476.png,401,134,751,484
13512.png,493,201,843,551
14355.png,174,239,524,589
11953.png,374,369,724,719
13097.png,529,231,879,581
14512.png,491,132,841,482
13928.png,564,448,914,798
11842.png,569,253,919,603
13264.png,541,51,891,401
14147.png,510,250,860,600
11710.png,426,241,776,591
14506.png,490,69,840,419
11716.png,409,226,759,576
13578.png,299,267,649,617
11798.png,650,371,1000,721
13827.png,445,231,795,581
11812.png,705,183,1055,533
11637.png,357,143,707,493
13869.png,201,198,551,548
13929.png,558,466,908,816
13267.png,548,21,898,371
12015.png,369,375,719,725
14733.png,492,372,842,722
13233.png,562,326,912,676
13894.png,549,221,899,571
11895.png,387,373,737,723
11439.png,182,315,532,665
11583.png,618,225,968,575
14548.png,602,158,952,508
13967.png,590,278,940,628
13666.png,321,320,671,670
13120.png,329,173,679,523
14246.png,578,162,928,512
11781.png,517,384,867,734
13754.png,581,214,931,564
14332.png,390,222,740,572
14460.png,323,193,673,543
13465.png,459,105,809,455
14384.png,191,226,541,576
13217.png,565,359,915,709
13273.png,527,142,877,492
13923.png,490,346,840,696
14234.png,462,195,812,545
13086.png,560,346,910,696
14211.png,463,266,813,616
13871.png,245,176,595,526
13023.png,451,434,801,784
13239.png,530,298,880,648
13162.png,213,171,563,521
13323.png,555,336,905,686
14081.png,507,187,857,537
13592.png,247,330,597,680
14321.png,630,265,980,615
11888.png,398,366,748,716
13466.png,469,115,819,465
13092.png,533,324,883,674
11727.png,418,404,768,754
13730.png,459,217,809,567
11618.png,331,107,681,457
11620.png,310,222,660,572
13138.png,211,235,561,585
14126.png,477,234,827,584
13698.png,506,365,856,715
13027.png,458,393,808,743
11525.png,655,283,1005,633
11659.png,440,345,790,695
14210.png,469,266,819,616
13033.png,375,374,725,724
13866.png,218,139,568,489
14338.png,293,249,643,599
13601.png,288,337,638,687
14169.png,515,256,865,606
13924.png,507,371,857,721
13660.png,391,333,741,683
11671.png,465,303,815,653
14405.png,311,250,661,600
13585.png,276,310,626,660
14599.png,189,240,539,590
11669.png,460,319,810,669
14143.png,528,305,878,655
11804.png,682,261,1032,611
14451.png,362,91,712,441
14724.png,464,325,814,675
11886.png,402,369,752,719
14609.png,240,361,590,711
13263.png,544,67,894,417
14252.png,634,239,984,589
13495.png,238,69,588,419
11814.png,760,156,1110,506
13459.png,341,188,691,538
11597.png,549,448,899,798
13657.png,373,334,723,684
11778.png,543,384,893,734
11730.png,406,402,756,752
13796.png,258,180,608,530
13570.png,322,334,672,684
14466.png,373,206,723,556
13136.png,201,243,551,593
14218.png,467,272,817,622
11504.png,248,102,598,452
14255.png,639,199,989,549
13696.png,507,311,857,661
14041.png,792,223,1142,573
11808.png,627,206,977,556
13579.png,290,263,640,613
11721.png,413,316,763,666
13083.png,559,320,909,670
11554.png,453,340,803,690
14235.png,471,230,821,580
14142.png,511,340,861,690
11935.png,381,376,731,726
13902.png,470,157,820,507
11868.png,457,334,807,684
14307.png,632,246,982,596
13171.png,247,234,597,584
14310.png,625,248,975,598
13144.png,207,162,557,512
12002.png,371,373,721,723
11954.png,371,370,721,720
11555.png,467,346,817,696
13098.png,548,157,898,507
13485.png,430,202,780,552
11883.png,399,361,749,711
11623.png,284,399,634,749
14518.png,457,142,807,492
13326.png,516,398,866,748
13572.png,314,322,664,672
14422.png,491,43,841,393
13577.png,305,287,655,637
13016.png,472,274,822,624
11992.png,373,371,723,721
13398.png,794,161,1144,511
13532.png,477,330,827,680
13721.png,386,139,736,489
11851.png,522,262,872,612
11461.png,344,287,694,637
13198.png,395,321,745,671
13685.png,497,158,847,508
13802.png,272,188,622,538
14535.png,462,28,812,378
14441.png,497,133,847,483
13500.png,273,136,623,486
13022.png,466,435,816,785
11816.png,757,157,1107,507
13366.png,644,253,994,603
12021.png,434,266,784,616
13284.png,442,102,792,452
13093.png,527,299,877,649
13327.png,499,400,849,750
14291.png,707,278,1057,628
13282.png,459,121,809,471
13571.png,321,325,671,675
13785.png,343,40,693,390
14188.png,609,277,959,627
12998.png,493,317,843,667
14442.png,490,122,840,472
14447.png,416,76,766,426
14304.png,658,254,1008,604
14200.png,473,210,823,560
11657.png,446,339,796,689
11494.png,170,95,520,445
11813.png,737,177,1087,527
14417.png,440,73,790,423
13907.png,464,173,814,523
13348.png,477,341,827,691
13334.png,398,347,748,697
11698.png,493,302,843,652
12012.png,370,368,720,718
13900.png,480,187,830,537
14331.png,413,215,763,565
11435.png,159,340,509,690
14224.png,533,294,883,644
13549.png,326,324,676,674
13066.png,578,401,928,751
13873.png,341,92,691,442
13494.png,254,64,604,414
14497.png,477,47,827,397
13089.png,545,388,895,738
14707.png,423,343,773,693
13980.png,463,173,813,523
11486.png,218,87,568,437
14036.png,719,193,1069,543
14743.png,526,300,876,650
13877.png,451,74,801,424
14198.png,453,210,803,560
14658.png,348,373,698,723
11672.png,473,306,823,656
13817.png,487,232,837,582
14265.png,510,37,860,387
11700.png,513,324,863,674
14287.png,675,282,1025,632
13987.png,398,253,748,603
13223.png,554,354,904,704
13006.png,492,167,842,517
13852.png,361,68,711,418
13168.png,198,240,548,590
13173.png,299,246,649,596
13481.png,557,217,907,567
14286.png,675,273,1025,623
11708.png,456,304,806,654
13468.png,493,129,843,479
